Id,Label
china,china
covid,covid
coronavirus,coronavirus
say,say
case,case
new,new
vaccine,vaccine
virus,virus
outbreak,outbreak
people,people
president,president
report,report
trump,trump
test,test
death,death
health,health
first,first
country,country
day,day
novel,novel
hospital,hospital
year,year
world,world
pandemic,pandemic
spread,spread
state,state
million,million
city,city
take,take
positive,positive
patient,patient
amid,amid
infection,infection
one,one
official,official
rise,rise
confirm,confirm
global,global
fight,fight
late,late
two,two
hit,hit
get,get
week,week
help,help
province,province
house,house
make,make
national,national
see,see
work,work
month,month
live,live
time,time
high,high
use,use
number,number
medical,medical
accord,accord
record,record
government,government
could,could
show,show
due,due
epidemic,epidemic
travel,travel
control,control
may,may
india,india
white,white
quarantine,quarantine
japan,japan
second,second
ship,ship
expert,expert
back,back
mask,mask
hubei,hubei
public,public
minister,minister
risk,risk
economy,economy
surge,surge
fear,fear
home,home
face,face
close,close
plan,plan
hong,hong
toll,toll
south,south
johnson,johnson
cruise,cruise
daily,daily
find,find
need,need
restriction,restriction
support,support
supply,supply
go,go
call,call
measure,measure
infect,infect
total,total
battle,battle
study,study
effort,effort
three,three
emergency,emergency
doctor,doctor
follow,follow
disease,disease
since,since
trial,trial
update,update
flight,flight
know,know
around,around
top,top
economic,economic
across,across
include,include
worker,worker
market,market
return,return
start,start
big,big
continue,continue
die,die
concern,concern
set,set
business,business
united,united
brazil,brazil
center,center
bring,bring
international,international
hold,hold
xi,xi
response,response
old,old
last,last
chief,chief
large,large
many,many
watch,watch
still,still
announce,announce
shot,shot
long,long
impact,impact
contain,contain
end,end
look,look
eu,eu
curb,curb
authority,authority
company,company
beijing,beijing
australia,australia
billion,billion
become,become
treatment,treatment
foreign,foreign
central,central
come,come
leader,leader
keep,keep
leave,leave
warn,warn
share,share
data,data
tell,tell
france,france
give,give
begin,begin
medium,medium
despite,despite
taiwan,taiwan
source,source
expect,expect
ministry,ministry
recovery,recovery
third,third
local,local
urge,urge
development,development
passenger,passenger
increase,increase
life,life
wave,wave
korea,korea
student,student
staff,staff
region,region
receive,receive
would,would
demand,demand
like,like
open,open
organization,organization
resident,resident
school,school
offer,offer
rate,rate
also,also
holiday,holiday
send,send
child,child
campaign,campaign
far,far
symptom,symptom
election,election
drug,drug
university,university
bank,bank
vaccination,vaccination
least,least
good,good
blood,blood
remain,remain
stop,stop
put,put
change,change
nation,nation
food,food
team,team
group,group
way,way
part,part
family,family
outside,outside
force,force
dos,dos
order,order
another,another
deal,deal
lead,lead
suspend,suspend
grow,grow
talk,talk
woman,woman
un,un
next,next
stay,stay
aid,aid
early,early
five,five
build,build
prevention,prevention
hour,hour
raise,raise
growth,growth
stock,stock
administration,administration
cause,cause
win,win
evacuate,evacuate
low,low
among,among
xinjiang,xinjiang
issue,issue
trade,trade
general,general
russia,russia
kill,kill
treat,treat
fall,fall
rule,rule
major,major
york,york
level,level
relief,relief
join,join
beyond,beyond
commission,commission
poverty,poverty
east,east
cut,cut
confirmed,confirmed
hope,hope
seek,seek
debate,debate
nearly,nearly
social,social
air,air
visit,visit
head,head
exclusive,exclusive
military,military
even,even
result,result
clot,clot
turn,turn
community,community
move,move
citizen,citizen
thousand,thousand
reach,reach
ban,ban
war,war
secretary,secretary
germany,germany
french,french
presidential,presidential
discharge,discharge
service,service
mark,mark
sale,sale
video,video
six,six
area,area
canada,canada
industry,industry
deadly,deadly
production,production
event,event
recover,recover
epicenter,epicenter
prevent,prevent
negative,negative
news,news
try,try
analysis,analysis
care,care
pass,pass
step,step
develop,develop
right,right
crisis,crisis
north,north
drop,drop
human,human
past,past
africa,africa
director,director
place,place
joe,joe
post,post
well,well
oil,oil
special,special
resume,resume
singapore,singapore
anti,anti
fauci,fauci
great,great
former,former
four,four
scientist,scientist
meet,meet
prime,prime
jinping,jinping
job,job
export,export
contract,contract
capital,capital
delay,delay
person,person
strong,strong
office,office
firm,firm
system,system
ask,ask
bad,bad
story,story
check,check
press,press
ease,ease
base,base
british,british
question,question
launch,launch
release,release
spike,spike
street,street
sign,sign
race,race
pneumonia,pneumonia
italy,italy
allow,allow
full,full
fund,fund
slow,slow
protect,protect
extend,extend
tourist,tourist
lose,lose
research,research
man,man
party,party
ahead,ahead
likely,likely
provide,provide
import,import
wear,wear
conference,conference
member,member
rare,rare
link,link
future,future
claim,claim
effective,effective
experience,experience
boost,boost
without,without
border,border
several,several
